y,x,osmid,highway,ref,geometry
52.4161309,13.5320907,855357601,,,POINT (13.5320907 52.4161309)
52.4163447,13.5299233,855358092,,,POINT (13.5299233 52.4163447)
52.5158775,13.2529924,858011046,,,POINT (13.2529924 52.5158775)
52.5253998,13.1771695,901651174,crossing,,POINT (13.1771695 52.5253998)
52.4134015,13.4897531,937965151,,,POINT (13.4897531 52.4134015)
52.4281693,13.5196381,945141793,crossing,,POINT (13.5196381 52.4281693)
52.5345147,13.2766208,1006022705,,,POINT (13.2766208 52.5345147)
52.4781723,13.3096686,1020050229,,,POINT (13.3096686 52.4781723)
52.4584775,13.3691551,1022827659,,,POINT (13.3691551 52.4584775)
52.4596448,13.3680021,1022827807,,,POINT (13.3680021 52.4596448)
52.4256314,13.3476011,1028152074,,,POINT (13.3476011 52.4256314)
52.6021276,13.2398325,1041158450,,,POINT (13.2398325 52.6021276)
52.6011811,13.2459946,1041208313,,,POINT (13.2459946 52.6011811)
52.4136809,13.2594659,1054886302,crossing,,POINT (13.2594659 52.4136809)
52.4158112,13.254349,1054886585,,,POINT (13.254349 52.4158112)
52.5043873,13.6206558,1098842580,crossing,,POINT (13.6206558 52.5043873)
52.5070826,13.6215976,1099452100,,,POINT (13.6215976 52.5070826)
52.5606635,13.3255266,1120475938,,,POINT (13.3255266 52.5606635)
52.4558377,13.3652747,1124806783,,,POINT (13.3652747 52.4558377)
52.5762717,13.3172634,1137743423,,,POINT (13.3172634 52.5762717)
52.5123713,13.1730748,1150622555,,,POINT (13.1730748 52.5123713)
52.4541711,13.3178045,1192469943,,,POINT (13.3178045 52.4541711)
52.5543405,13.3712656,1213566823,,,POINT (13.3712656 52.5543405)
52.4569457,13.4490822,1215285192,,,POINT (13.4490822 52.4569457)
52.4533949,13.4517084,1215285198,,,POINT (13.4517084 52.4533949)
52.4578068,13.4484504,1215285213,,,POINT (13.4484504 52.4578068)
52.4331572,13.2800547,1239505513,,,POINT (13.2800547 52.4331572)
52.4898959,13.3145015,1248430020,,,POINT (13.3145015 52.4898959)
52.5351276,13.1377384,1274860919,,,POINT (13.1377384 52.5351276)
52.5323689,13.1403906,1274861012,,,POINT (13.1403906 52.5323689)
52.5047985,13.3136748,1277963434,,,POINT (13.3136748 52.5047985)
52.5040658,13.3135641,1277963441,,,POINT (13.3135641 52.5040658)
52.5057533,13.3138103,1277967229,,,POINT (13.3138103 52.5057533)
52.5069333,13.3139849,1277967231,,,POINT (13.3139849 52.5069333)
52.5023134,13.313298,1277969544,,,POINT (13.313298 52.5023134)
52.5019227,13.3132325,1277969545,,,POINT (13.3132325 52.5019227)
52.4256002,13.1865738,1354109465,,,POINT (13.1865738 52.4256002)
52.4110258,13.3049279,1368919898,,,POINT (13.3049279 52.4110258)
52.4137287,13.3015773,1374744574,,,POINT (13.3015773 52.4137287)
52.5433773,13.206557,1376912801,,,POINT (13.206557 52.5433773)
52.4097939,13.5467968,1383466192,,,POINT (13.5467968 52.4097939)
52.5480015,13.2361583,1400382376,,,POINT (13.2361583 52.5480015)
52.5653534,13.2080706,1400407048,,,POINT (13.2080706 52.5653534)
52.4148894,13.251417,1404684181,,,POINT (13.251417 52.4148894)
52.4147307,13.2514531,1404684187,,,POINT (13.2514531 52.4147307)
52.5539773,13.1989257,1404907418,,,POINT (13.1989257 52.5539773)
52.5540207,13.2000403,1404907442,,,POINT (13.2000403 52.5540207)
52.520389,13.4695427,1412045005,traffic_signals,,POINT (13.4695427 52.520389)
52.4151467,13.2661339,1446063608,,,POINT (13.2661339 52.4151467)
52.4148763,13.266207,1446063627,,,POINT (13.266207 52.4148763)
52.5936582,13.3339491,1450910605,,,POINT (13.3339491 52.5936582)
52.5716518,13.3115197,1457087486,,,POINT (13.3115197 52.5716518)
52.4583134,13.3019105,1474201625,,,POINT (13.3019105 52.4583134)
